transaction_id,client_id,industry,region,subscription_plan,onboarding_date,invoice_date,revenue_amount,service_cost,profit,payment_status,tenure_months,last_active_date,churn_flag,temp_id,Profit_margin,Outlier Flag,Year,Month
125,239,Retail,North,Basic,09-05-2022,31-07-2023,461,4160,-3699,Pending,14,31-07-2023,1,76,-802%,Outlier,2023,July
131,357,Education,South,Premium,03-12-2022,12-08-2023,898,1825,-927,Paid,8,12-08-2023,0,77,-103%,Outlier,2023,August
132,268,Finance,West,Basic,29-12-2022,29-05-2024,408,3308,-2900,Overdue,17,29-05-2024,1,78,-711%,Outlier,2024,May
134,231,Retail,East,Premium,27-07-2022,04-01-2024,7287,4012.75,7505,Paid,17,04-01-2024,1,79,103%,Outlier,2024,January
136,306,Finance,West,Standard,07-01-2022,01-02-2023,4081,585,3496,Pending,12,01-02-2023,1,80,86%,Normal,2023,February
137,352,Education,North,Standard,11-08-2022,08-11-2022,8046,7904,142,NA,2,08-11-2022,1,81,2%,Normal,2022,November
139,396,Retail,South,Premium,22-12-2022,16-02-2024,2896,2405,491,Pending,13,16-02-2024,0,82,17%,Normal,2024,February
140,299,IT,West,Premium,22-01-2022,13-07-2022,4967.93,294,-1016,Paid,5,13-07-2022,0,83,-20%,Normal,2022,July
142,200,IT,West,Basic,06-01-2022,07-08-2023,47,302,-255,Overdue,19,07-08-2023,1,84,-543%,Outlier,2023,August
143,155,Finance,North,Basic,26-03-2022,12-01-2023,4967.93,7984,-8448,Paid,9,12-01-2023,0,85,-170%,Outlier,2023,January
145,288,IT,East,Basic,27-12-2022,17-03-2024,4967.93,7742,-8677,Paid,14,17-03-2024,1,86,-175%,Outlier,2024,March
146,240,Finance,North,Premium,04-10-2022,28-05-2023,1892,7655,-5763,Pending,7,28-05-2023,1,87,-305%,Outlier,2023,May
147,339,Finance,West,Basic,23-10-2022,06-06-2023,4967.93,7875,-9351,Paid,7,06-06-2023,1,88,-188%,Outlier,2023,June
148,318,Healthcare,North,Premium,16-09-2022,10-06-2023,722,4012.75,1655,Paid,8,10-06-2023,1,89,229%,Outlier,2023,June
149,132,Healthcare,East,Standard,22-06-2022,24-03-2023,8283,294,7989,NA,9,24-03-2023,0,90,96%,Normal,2023,March
150,230,Education,West,Standard,17-10-2022,26-12-2023,4853,7126,-2273,NA,14,26-12-2023,0,91,-47%,Normal,2023,December
151,137,Finance,South,Standard,24-11-2022,01-11-2023,5442,719,4723,NA,11,01-11-2023,1,92,87%,Normal,2023,November
152,398,Healthcare,East,Premium,18-10-2022,07-06-2023,762,4763,-4001,Overdue,7,07-06-2023,1,93,-525%,Outlier,2023,June
153,171,IT,South,Premium,21-08-2022,12-03-2023,3395,6931,-3536,NA,6,12-03-2023,0,94,-104%,Outlier,2023,March
154,153,Finance,East,Standard,08-11-2022,18-12-2022,3265,4072,-807,Paid,1,18-12-2022,1,95,-25%,Normal,2022,December
156,219,Finance,South,Premium,06-01-2022,29-03-2022,5802,1287,4515,Pending,2,29-03-2022,0,96,78%,Normal,2022,March
158,429,Retail,South,Basic,25-07-2022,23-01-2023,8778,487,8291,Paid,5,23-01-2023,0,97,94%,Normal,2023,January
159,470,Finance,North,Basic,04-03-2022,06-10-2022,9829,5720,4109,NA,7,06-10-2022,1,98,42%,Normal,2022,October
160,146,Healthcare,East,Basic,28-12-2022,13-06-2023,4403,1269,3134,Paid,5,13-06-2023,1,99,71%,Normal,2023,June
164,327,Education,South,Standard,06-08-2022,02-04-2023,9063,488,8575,NA,7,02-04-2023,1,100,95%,Normal,2023,April
167,110,Retail,West,Standard,23-04-2022,12-10-2023,343,4241,-3898,Paid,17,12-10-2023,1,101,-1136%,Outlier,2023,October
170,473,Healthcare,East,Standard,27-08-2022,02-02-2023,4468,4000,468,Pending,5,02-02-2023,1,102,10%,Normal,2023,February
171,143,IT,South,Premium,29-07-2022,26-01-2024,5146,3188,1958,NA,17,26-01-2024,0,103,38%,Normal,2024,January
172,464,Healthcare,South,Premium,07-08-2022,31-07-2023,3274,2821,453,Overdue,11,31-07-2023,1,104,14%,Normal,2023,July
176,430,Healthcare,East,Basic,10-03-2022,26-06-2022,4320,5028,-708,Pending,3,26-06-2022,1,105,-16%,Normal,2022,June
177,496,Finance,East,Premium,06-04-2022,16-04-2023,3021,4005,-984,NA,12,16-04-2023,0,106,-33%,Normal,2023,April
178,286,IT,East,Standard,03-03-2022,12-08-2023,6598,3532,3066,Overdue,17,12-08-2023,0,107,46%,Normal,2023,August
179,244,Education,West,Basic,13-08-2022,23-02-2023,9479,3072,6407,Overdue,6,23-02-2023,0,108,68%,Normal,2023,February
182,499,Finance,East,Basic,23-11-2022,21-08-2023,7639,1980,5659,Overdue,8,21-08-2023,0,109,74%,Normal,2023,August
183,166,Education,West,Basic,23-01-2022,23-09-2022,9206,4012.75,9441,Overdue,8,23-09-2022,0,110,103%,Outlier,2022,September
186,273,Education,South,Premium,23-07-2022,17-11-2022,9104,7631,577.01,Paid,3,17-11-2022,0,111,6%,Normal,2022,November
187,184,Healthcare,North,Premium,01-03-2022,12-07-2022,6248,1832,577.01,Overdue,4,12-07-2022,1,112,9%,Normal,2022,July
188,306,Retail,West,Basic,27-05-2022,05-10-2023,4122,5363,-1241,Pending,16,05-10-2023,1,113,-30%,Normal,2023,October
189,293,IT,North,Standard,02-11-2022,28-05-2024,8057,594,7463,Overdue,18,28-05-2024,0,114,93%,Normal,2024,May
190,328,Education,East,Basic,16-02-2022,05-12-2022,3731,6802,-3071,Overdue,9,05-12-2022,0,115,-82%,Normal,2022,December
191,498,IT,South,Standard,11-12-2022,11-06-2024,7182,7580,-398,NA,18,11-06-2024,0,116,-6%,Normal,2024,June
193,227,Education,West,Premium,04-04-2022,03-10-2022,4967.93,5629,-7240,Pending,5,03-10-2022,0,117,-146%,Outlier,2022,October
195,337,Finance,East,Basic,05-11-2022,30-04-2023,2540,3282,-742,Paid,5,30-04-2023,1,118,-29%,Normal,2023,April
196,458,Education,North,Standard,30-11-2022,08-04-2024,4391,184,4207,Pending,16,08-04-2024,1,119,96%,Normal,2024,April
198,192,Healthcare,North,Standard,02-06-2022,31-10-2022,241,4012.75,1116,Pending,4,31-10-2022,1,120,463%,Outlier,2022,October
200,412,IT,East,Standard,11-04-2022,16-11-2023,8343,4666,3677,Overdue,19,16-11-2023,0,121,44%,Normal,2023,November
201,457,Education,North,Standard,16-07-2022,10-09-2023,4967.93,7087,-8682,Overdue,13,10-09-2023,1,122,-175%,Outlier,2023,September
202,184,Retail,West,Standard,30-03-2022,04-05-2022,2543,1788,755,Overdue,1,04-05-2022,0,123,30%,Normal,2022,May
205,485,Education,West,Basic,11-05-2022,15-08-2023,5463,6798,-1335,Overdue,15,15-08-2023,0,124,-24%,Normal,2023,August
206,428,Retail,North,Standard,15-02-2022,21-10-2022,9191,3454,5737,Pending,8,21-10-2022,0,125,62%,Normal,2022,October
209,441,IT,North,Standard,23-08-2022,01-01-2023,9191,4969,4222,NA,4,01-01-2023,0,126,46%,Normal,2023,January
210,380,Healthcare,North,Premium,19-12-2022,27-06-2023,4967.93,748,-1748,Paid,6,27-06-2023,0,127,-35%,Normal,2023,June
213,339,Education,West,Basic,10-11-2022,21-06-2024,743,4012.75,1000,Overdue,19,21-06-2024,1,128,135%,Outlier,2024,June
214,253,Education,East,Premium,10-02-2022,13-09-2022,2830,3813,-983,Pending,7,13-09-2022,1,129,-35%,Normal,2022,September
215,195,Healthcare,South,Premium,26-08-2022,17-11-2023,981,6276,-5295,Paid,14,17-11-2023,0,130,-540%,Outlier,2023,November
217,205,Healthcare,South,Standard,04-05-2022,01-03-2023,32,2944,-2912,Pending,9,01-03-2023,0,131,-9100%,Outlier,2023,March
218,182,Education,South,Premium,07-02-2022,15-05-2022,4967.93,7558,-8275,NA,3,15-05-2022,0,132,-167%,Outlier,2022,May
219,488,Education,North,Premium,07-05-2022,21-12-2023,4967.93,5628,-6578,Pending,19,21-12-2023,1,133,-132%,Outlier,2023,December
220,150,IT,South,Basic,04-05-2022,19-07-2022,6508,6205,577.01,Overdue,2,19-07-2022,1,134,9%,Normal,2022,July
223,322,Healthcare,South,Standard,02-12-2022,02-01-2023,365,5059,-4694,Paid,1,02-01-2023,1,135,-1286%,Outlier,2023,January
225,405,IT,East,Premium,02-03-2022,13-04-2023,1943,3624,-1681,Overdue,13,13-04-2023,0,136,-87%,Normal,2023,April
227,212,Healthcare,East,Basic,25-12-2022,10-10-2023,3946,2792,1154,Overdue,9,10-10-2023,0,137,29%,Normal,2023,October
228,177,IT,East,Premium,24-08-2022,05-03-2024,5149,4012.75,5417,Paid,18,05-03-2024,1,138,105%,Outlier,2024,March
229,295,Finance,South,Basic,07-08-2022,07-03-2024,4967.93,3787,-3963,Pending,19,07-03-2024,1,139,-80%,Normal,2024,March
230,452,IT,North,Premium,15-08-2022,21-02-2024,4967.93,4017,-4699,Overdue,18,21-02-2024,0,140,-95%,Normal,2024,February
231,193,IT,West,Standard,29-07-2022,02-06-2023,7033,1273,5760,Paid,10,02-06-2023,0,141,82%,Normal,2023,June
232,403,Healthcare,North,Premium,19-04-2022,28-03-2023,4967.93,4542,-5397,Overdue,11,28-03-2023,1,142,-109%,Outlier,2023,March
238,255,IT,South,Standard,26-04-2022,01-06-2023,1734,4816,-3082,NA,13,01-06-2023,0,143,-178%,Outlier,2023,June
239,472,IT,North,Standard,11-08-2022,02-11-2022,9423,885,8538,Pending,2,02-11-2022,0,144,91%,Normal,2022,November
241,246,Retail,East,Premium,11-06-2022,12-02-2023,8092,3626,4466,Paid,8,12-02-2023,1,145,55%,Normal,2023,February
242,398,IT,East,Standard,23-01-2022,05-11-2022,6266,3293,2973,Paid,9,05-11-2022,1,146,47%,Normal,2022,November
243,333,Healthcare,West,Standard,20-09-2022,21-04-2024,2502,6145,-3643,Paid,19,21-04-2024,0,147,-146%,Outlier,2024,April
244,469,IT,West,Basic,05-08-2022,11-08-2023,600,2957,-2357,Pending,12,11-08-2023,0,148,-393%,Outlier,2023,August
246,295,Retail,East,Basic,08-11-2022,19-05-2023,2058,2053,5,Overdue,6,19-05-2023,1,149,0%,Normal,2023,May
248,272,Education,East,Standard,22-02-2022,11-10-2022,1008,3089,-2081,Paid,7,11-10-2022,0,150,-206%,Outlier,2022,October
250,466,IT,East,Standard,23-04-2022,14-05-2023,1123,5411,-4288,NA,12,14-05-2023,1,151,-382%,Outlier,2023,May
253,413,IT,West,Standard,04-03-2022,10-10-2023,4967.93,5846,-7107,Paid,19,10-10-2023,1,152,-143%,Outlier,2023,October
254,368,Retail,West,Premium,23-04-2022,04-08-2022,5068,2420,2648,Paid,3,04-08-2022,0,153,52%,Normal,2022,August
255,364,Retail,South,Standard,01-11-2022,20-06-2023,4967.93,5472,577.01,Paid,7,20-06-2023,0,154,12%,Normal,2023,June
256,299,Education,West,Standard,11-05-2022,03-08-2022,6008,4088,1920,NA,2,03-08-2022,1,155,32%,Normal,2022,August
259,258,IT,West,Standard,29-08-2022,22-01-2023,7012,4342,2670,Pending,4,22-01-2023,1,156,38%,Normal,2023,January
263,380,Finance,South,Basic,11-05-2022,26-07-2022,4967.93,5134,-5652,Pending,2,26-07-2022,0,157,-114%,Outlier,2022,July
267,179,Healthcare,South,Standard,04-02-2022,13-09-2023,7433,159,7274,Paid,19,13-09-2023,0,158,98%,Normal,2023,September
268,348,Education,West,Basic,02-10-2022,09-01-2023,8402,6381,2021,Paid,3,09-01-2023,1,159,24%,Normal,2023,January
269,327,Healthcare,West,Basic,05-08-2022,01-06-2023,4967.93,3802,-4363,Overdue,9,01-06-2023,0,160,-88%,Normal,2023,June
272,174,IT,North,Premium,07-07-2022,23-02-2023,2035,4330,-2295,NA,7,23-02-2023,1,161,-113%,Outlier,2023,February
273,468,Finance,West,Premium,16-02-2022,08-10-2023,7259,6555,704,Pending,19,08-10-2023,1,162,10%,Normal,2023,October
274,469,Healthcare,South,Standard,12-02-2022,29-06-2022,4666,3603,577.01,Paid,4,29-06-2022,1,163,12%,Normal,2022,June
275,204,Retail,North,Standard,15-10-2022,13-05-2024,6204,293,5911,Paid,18,13-05-2024,0,164,95%,Normal,2024,May
278,311,Education,East,Premium,05-08-2022,02-12-2023,4967.93,4141,577.01,Paid,15,02-12-2023,1,165,12%,Normal,2023,December
281,196,Retail,East,Standard,15-10-2022,31-01-2023,7077,4812,2265,NA,3,31-01-2023,0,166,32%,Normal,2023,January
283,358,Retail,East,Basic,21-04-2022,24-11-2023,6996,6652,344,NA,19,24-11-2023,0,167,5%,Normal,2023,November
284,203,IT,North,Standard,05-06-2022,03-08-2022,4062,3361,701,NA,1,03-08-2022,0,168,17%,Normal,2022,August
285,402,Retail,South,Standard,28-06-2022,10-08-2022,9717,7474,2243,Paid,1,10-08-2022,1,169,23%,Normal,2022,August
286,136,Retail,West,Standard,28-02-2022,11-06-2022,7570,4084,3486,Paid,3,11-06-2022,0,170,46%,Normal,2022,June
288,449,IT,East,Basic,20-08-2022,22-01-2023,9720,6978,2742,Overdue,5,22-01-2023,0,171,28%,Normal,2023,January
293,319,Retail,North,Standard,13-04-2022,21-10-2022,513,4012.75,850,Paid,6,21-10-2022,0,172,166%,Outlier,2022,October
295,354,Education,South,Standard,23-01-2022,22-04-2023,4967.93,5054,-5067,Overdue,14,22-04-2023,0,173,-102%,Outlier,2023,April
296,146,Finance,West,Premium,13-03-2022,24-06-2023,1004,1310,-306,Paid,15,24-06-2023,1,174,-30%,Normal,2023,June
297,294,Healthcare,East,Premium,05-12-2022,25-01-2023,9919,1398,8521,Paid,1,25-01-2023,0,175,86%,Normal,2023,January
298,116,IT,West,Standard,21-12-2022,24-02-2023,4867,5597,-730,Pending,2,24-02-2023,0,176,-15%,Normal,2023,February
301,259,Finance,West,Basic,14-02-2022,27-07-2022,9432,7849,1583,Pending,5,27-07-2022,0,177,17%,Normal,2022,July
302,177,Healthcare,East,Standard,20-01-2022,09-05-2023,6648,4913,1735,Pending,15,09-05-2023,0,178,26%,Normal,2023,May
305,453,Healthcare,West,Standard,16-11-2022,01-11-2023,1724,6599,-4875,Overdue,11,01-11-2023,0,179,-283%,Outlier,2023,November
307,433,Education,West,Premium,19-12-2022,17-07-2024,2003,5741,-3738,Pending,18,17-07-2024,0,180,-187%,Outlier,2024,July
308,419,Retail,West,Premium,29-04-2022,15-10-2022,2721,217,2504,Overdue,5,15-10-2022,0,181,92%,Normal,2022,October
310,361,Finance,South,Basic,26-09-2022,18-04-2024,8248,618,7630,NA,18,18-04-2024,0,182,93%,Normal,2024,April
312,370,IT,East,Standard,25-04-2022,01-08-2023,2714,3502,-788,Overdue,15,01-08-2023,1,183,-29%,Normal,2023,August
313,427,Healthcare,West,Standard,20-09-2022,08-04-2023,4268,4462,-194,Pending,6,08-04-2023,0,184,-5%,Normal,2023,April
314,352,Finance,West,Standard,24-10-2022,25-11-2023,1455,2654,-1199,Paid,13,25-11-2023,0,185,-82%,Normal,2023,November
315,171,Finance,West,Standard,07-02-2022,30-04-2023,6310,3356,2954,Paid,14,30-04-2023,1,186,47%,Normal,2023,April
316,287,Retail,West,Premium,19-01-2022,05-07-2023,1848,5470,577.01,NA,17,05-07-2023,0,187,31%,Normal,2023,July
319,199,IT,North,Premium,11-01-2022,14-06-2023,4967.93,5155,-5779,Overdue,17,14-06-2023,1,188,-116%,Outlier,2023,June
321,259,Finance,North,Basic,29-10-2022,27-05-2024,9264,1537,7727,Paid,18,27-05-2024,0,189,83%,Normal,2024,May
322,291,IT,East,Premium,24-10-2022,10-08-2023,5064,5984,577.01,Pending,9,10-08-2023,0,190,11%,Normal,2023,August
323,294,Healthcare,East,Premium,27-01-2022,15-07-2022,4009,4012.75,4934,NA,5,15-07-2022,0,191,123%,Outlier,2022,July
324,405,Finance,South,Basic,01-05-2022,06-11-2023,7688,5478,2210,Paid,18,06-11-2023,1,192,29%,Normal,2023,November
325,432,Education,East,Premium,25-06-2022,03-12-2022,6555,4012.75,7101,Overdue,5,03-12-2022,1,193,108%,Outlier,2022,December
326,144,Education,North,Basic,25-09-2022,01-04-2024,5884,7037,-1153,Paid,18,01-04-2024,0,194,-20%,Normal,2024,April
327,301,Healthcare,West,Basic,09-03-2022,27-06-2022,6269,856,5413,Pending,3,27-06-2022,1,195,86%,Normal,2022,June
330,207,Healthcare,North,Premium,29-05-2022,21-10-2023,1870,4553,-2683,Paid,16,21-10-2023,0,196,-143%,Outlier,2023,October
332,289,Finance,West,Basic,12-09-2022,03-04-2024,8627,5145,3482,Overdue,18,03-04-2024,1,197,40%,Normal,2024,April
333,497,Healthcare,West,Premium,10-04-2022,26-02-2023,8054,1171,6883,NA,10,26-02-2023,0,198,85%,Normal,2023,February
334,434,Retail,South,Standard,06-04-2022,04-01-2023,5966,2106,3860,Paid,8,04-01-2023,1,199,65%,Normal,2023,January
336,357,Education,South,Basic,03-05-2022,19-11-2022,3820,2788,1032,Paid,6,19-11-2022,0,200,27%,Normal,2022,November
337,190,IT,North,Basic,17-03-2022,07-08-2022,8300,3643,4657,Pending,4,07-08-2022,0,201,56%,Normal,2022,August
338,260,Education,West,Standard,29-05-2022,14-08-2022,6558,1628,4930,Overdue,2,14-08-2022,0,202,75%,Normal,2022,August
339,145,Education,West,Basic,28-03-2022,20-07-2023,4967.93,5606,577.01,Overdue,15,20-07-2023,1,203,12%,Normal,2023,July
340,484,IT,East,Basic,20-05-2022,12-08-2022,7697,2620,5077,Paid,2,12-08-2022,1,204,66%,Normal,2022,August
